eff_half_bps,hours,market,n_makers,notional_per_hr,pct_at_touch,pct_one_tick,regime,rs1,rs1_hi,rs1_lo,rs30,rs30_hi,rs30_lo,rs5,rs5_hi,rs5_lo,rs60,rs60_hi,rs60_lo,spread_mean_bps,spread_med_bps,tick_bps,top1_maker_share,top1_rs30,top3_maker_share,touch_usd_med,trades,trades_per_hr
47.68646608656772,48.858422552777775,CASHCAT-USD,33,12702.939845228204,83.30827067669173,0.5717004416142769,24/7,27.141015609091216,42.11217499772917,12.473960828187552,25.190080021568157,45.54028896883171,-0.28859308253376487,24.626365923404776,40.66758587507952,7.63623690830578,27.20655446013531,44.610294880547535,7.50100108142825,40.85424414335411,39.810308952807546,0.05594178697497553,69.8687048971328,32.926938983585394,85.21218672105482,34.8671,2660,54.44301844020074
3.042565215601154,6.499947246944444,TSLA-USD,8,5732.4060034931335,75.22123893805309,0.17254270375031674,RTH,1.4851688866630661,2.756808336312965,-1.7223194757601445,5.589920265956589,8.031730438068681,-1.8773440881546624,2.3600983628211747,3.7034383860135596,-1.365537935885212,7.0383861470448075,11.063233022693606,-5.670772889339303,5.97821620369457,5.88219566321829,0.26670578351467294,26.876055879632165,8.059376806478612,78.6429991836775,449.795805456,113,17.38475647677296
2.323919884439486,43.553391659166664,NVDA-USD,18,10714.053065738357,90.15544041450777,15.369891369060918,off-RTH,1.6595290974764747,2.9592978651357846,0.5246052051329956,3.944974361965127,9.204920966077816,0.4128320857701684,1.6631199180155194,2.9365202039122043,0.5044297537409722,5.428307375519031,13.281397237391642,0.3759893108636155,2.56679858058527,2.23508638608806,0.4503186004093804,26.849415938947995,5.2397052183778445,61.81783603289188,33.3135,1158,26.588055622902935
4.251877572285476,6.485055630833333,SLV-USD,6,17772.994656685034,82.05128205128204,18.018631525342492,RTH,3.3274540763095932,4.075946706133568,1.3532557260807412,3.912930613254798,5.300200084459614,0.016749712800747465,3.9466668604813053,4.481645589535928,1.4257498205644188,2.926917304321313,4.224262528531161,-0.445047280727168,5.504642936027268,5.033979360684812,1.6733601070947137,39.463600990233175,3.994270168447408,89.07191737320221,3096.0403779374997,117,18.041479774471178
4.860252741026968,52.242725871944444,LIT-USD,36,14448.910077231829,91.75202156334232,0.1143215913004821,24/7,3.167848835289185,3.8703397492544958,2.412613807027154,3.5494922271171743,5.607200278825033,1.4000011036216546,2.5395545286543304,3.4380097263563805,1.6240181589371847,4.7165358675805145,7.29644231416252,1.8647045494339847,9.679155537049157,10.016943553456812,0.20724314802293547,62.37100053558796,6.46405130700212,84.87575970515456,500.91731066299997,1855,35.50733559628783
4.257751098367393,20.473258496666666,GLD-USD,10,17201.98712101481,69.49152542372882,16.958225390065923,off-RTH,2.2402278715193606,2.7071270209312135,1.10448965410796,2.2380244391850703,3.3457475440729243,-0.38329987665889503,2.1310476456473753,2.702280462761947,0.8247185675820802,2.1491255436415724,3.321863814480657,-0.6027470763075723,2.912727028813453,2.759208859569153,0.24975336854833116,70.12379170053534,3.3127536502062753,88.9599251593679,5.477667992500001,413,20.172655958368434
6.369293053383788,35.123628331944445,GOOGL-USD,10,7538.83879050673,70.08547008547008,0.3580968990452983,off-RTH,1.7769284928165032,4.147825622961925,-0.14781025838598208,2.225913761842126,4.6026024048358405,0.055945410313509046,1.5291536372113703,3.930482708394369,-0.2863959178324385,2.4793596108611657,4.977955397301694,0.3832763818435886,6.174438672953354,6.2669135450798255,0.2848881101944619,45.01465567214458,3.969622083803473,86.68129536550384,450.2024664779999,117,3.3310909366840713
3.0442409403718713,6.354116805833334,GLD-USD,7,46976.4242058372,64.63878326996198,11.839771480967915,RTH,2.006363839800861,2.3183275104454424,1.4189973120226969,1.898928822425612,2.445203915199456,0.9204815615178362,1.4640585428011312,1.8317817468925246,0.9030795962726439,2.156052661079768,3.370144835750256,0.4286986672869753,3.1207723528571134,3.5074533383450635,0.2509567726956749,59.23271644563432,2.326978509726168,87.63524963386905,5.452854946,263,41.39048872355564
2.2697709652002063,52.25275485638889,HYPE-USD,79,112609.16174600885,79.28413355142885,1.9576211782309647,24/7,1.6948598202030518,2.680631609605776,0.9189186693417355,1.8773786511913348,3.037169076677735,0.6346267779865926,1.4018276830530734,2.3209808806435275,0.5629547062790144,2.1735182471403203,3.689921008970141,0.4707666435892462,3.089525227597695,3.380459851586003,0.10766696454425263,31.630862621546747,2.335775630989089,61.35588494476458,42.402576315,10393,198.89860407482914
2.036257555966662,6.499968800555555,NVDA-USD,19,69409.47951961265,85.5686274509804,16.53777869616357,RTH,1.429383473984203,2.270780285309882,0.8148138916929709,1.25267277844854,2.5741343034013466,-0.2273898401107414,1.08071680427842,1.6287339573882782,0.47773916230520314,2.176906694987945,3.7206437622486828,0.44456929896866826,1.9152684545130962,1.776435582004354,0.4429188351230608,32.257095261618026,0.9343681236047781,63.14724212464991,94.06675464000001,1275,196.15478768006167
1.6997561069585758,40.11659186194444,SPY-USD,37,33558.51072405908,45.109931766489765,77.0996980544065,off-RTH,0.8526528402676051,1.150963900051824,0.6105815193039263,0.8148263693760546,1.1416068786449907,0.5252743725751239,0.7177891559757379,1.024450923902318,0.47439335610779193,0.774664533581951,1.0978398944980827,0.4972609154459368,0.23889378545325446,0.13111229112161196,0.13101094596441618,17.727750910863875,0.2280516937963039,52.744564192169676,6.2683303084999995,3957,98.63749177939776
2.4252296162673628,6.489992499166667,GOOGL-USD,13,13725.120728665186,84.375,2.000175064660472,RTH,1.5990840817744523,2.3109520775331305,0.5055722706451992,0.771539463092263,2.4866757321978734,-0.7394296233913524,2.1691279477708694,3.980116004242585,0.5028467611555681,-0.727095042632215,4.94324813562624,-5.543103774387031,4.8779929773369055,5.055753728618567,0.2815533297198095,28.724059595039837,2.4947509370175336,60.7309380068432,450.35368304950003,96,14.792004769239204
0.7916488973024735,6.382425425555556,SPY-USD,20,111992.17533394901,67.03030303030303,88.48215972182862,RTH,0.3934793094160806,0.5347645729792221,0.2847346925745953,0.575433081376869,0.9108556368834031,0.17363276529457342,0.33564079593700125,0.4607040019712662,0.19311531692223655,0.6513616336577253,1.1333286594841783,0.1353911969720221,0.16980953129164078,0.12958151649236965,0.12953703463808525,28.23574850171746,0.8235385722844232,58.74569051041338,11.29818807,1650,258.52240958324654
1.869461380979878,37.68405273444444,QQQ-USD,26,41361.24105637866,88.39160839160839,19.81671300755357,off-RTH,0.9031261032466998,1.4651267146905413,0.4071998475730766,0.4933711010764093,1.2481716531063485,-0.1906770898745833,0.6690961306287896,1.320894341745794,0.027061496569797023,0.20278856473060883,1.1296806814926281,-0.5353632800467416,2.3744050520466358,1.6631786115231189,0.13858765322584804,61.937933240941675,0.6278060403407053,78.44574590088648,499.4498535,2145,56.92062940033519
10.447334319756001,52.25918195138889,UNI-USD,26,24233.55624167168,79.27565392354124,0.5886802815447981,24/7,5.697432143492917,10.712998172808986,1.8928397986448913,0.4164082869575906,8.332405802242125,-7.166162916994573,4.777461942702906,11.43204098122428,-0.26764667031651773,1.4162405106860207,10.493360770734979,-7.930909566731878,10.407975320322207,10.380024220056907,1.1386279533156227,70.01937950264498,2.913481890920237,81.52506206981138,2005.9010444160003,497,9.510290468425353
2.064015461687193,38.473271976111114,AMD-USD,10,2359.503224633504,97.21362229102168,0.9348965640383126,off-RTH,1.1719674526300743,1.8789459719474442,0.4641906517988679,-0.4025961631167513,2.296380477389752,-2.7161055957289877,1.1490275342986744,2.136904267202951,0.29086673159382365,-2.3463686797532213,2.466089008167904,-7.046710599111773,7.233978519617915,7.396516421167894,0.17558800031589872,36.35442775728567,0.15495209698876422,82.60022881519401,450.15467084800014,646,16.79087758382275
